V1,V2,V3,V4,V5
Total predator response (0/0),NA,NA,NA,1
Total parasitoid response (0/0),NA,NA,NA,2
Total predator-parasitoid response (0/0),NA,NA,NA,3
Total herbivore response (232/49),-0.4141,-0.5557,-0.2724,4
Total crop response (0/0),NA,NA,NA,5
,NA,NA,NA,NA
Total predator response (0/0),NA,NA,NA,1
Total parasitoid response (0/0),NA,NA,NA,2
Total predator-parasitoid response (0/0),NA,NA,NA,3
Total herbivore response (263/72),-0.4203,-0.5603,-0.2802,4
Total crop response (0/0),NA,NA,NA,5
,NA,NA,NA,NA
Total predator response (322/75),0.1405,0.0574,0.2236,1
Total parasitoid response (16/7),0.1531,-0.0676,0.3738,2
Total predator-parasitoid response (0/0),NA,NA,NA,3
Total herbivore response (0/0),NA,NA,NA,4
Total crop response (0/0),NA,NA,NA,5
,NA,NA,NA,NA
Total predator response (0/0),NA,NA,NA,1
Total parasitoid response (30/9),0.2886,0.0395,0.5377,2
Total predator-parasitoid response (0/0),NA,NA,NA,3
Total herbivore response (0/0),NA,NA,NA,4
Total crop response (0/0),NA,NA,NA,5
